ResponseID,age,ID
R_1GDGe5nCSY5OJ2G,65,1
R_2DOe4vb4efMN7cT,,2
R_qwNOFn26MQNhNHr,59,3
R_3fd8wUUieke15mQ,,4
R_3EQFX0y4QFBlvkB,,5
R_Wqeqo6HMI4vyHSN,,6
R_1ITs2j2txSIhF2s,64,7
R_1FkxdYWBvovKAvP,,8
R_vSn7DAe5DfxTIkh,29,9
R_1dvrLEE6z0D6UfA,62,10
R_3CWd7WzHRHo45cQ,,11
R_2pS7Xl1GeTpTaDo,,12
R_1gMA2KIQssR1Ahn,,13
R_3ND0OKDbViiPtfR,50,14
R_2ldKWNwBQ2Okk13,75,15
R_3r20hnq9NJF39Kg,,16
R_oZCHzjqqKZx5zB7,,17
R_3KVexBZm4hAawUg,,18
R_2XcTx0Tobnw986D,63,19
R_9Hzt3tI9zWvb5aV,,20
R_1d143bSiHIKhK9E,,21
R_3GDhdk4RzEotHwV,,22
R_0IGQjC6PX3vls2Z,,23
R_2cA4MyO4TJI1TnK,,24
R_3eruKDuA4jEwoOz,54,25
R_30d9KrZd1Gj6wYP,,26
R_1exbs0P6EdGBbH2,62,27
R_2CU3UqZJ7973X7R,,28
R_2xQ49U9nP601a2D,64,29
R_1Ln9IjnNx0LyNC6,,30
R_1Q9F6AIaxJyF451,,31
R_Y31kjwotSC2rPVL,50,32
R_1IQbRnspZ6bqWnH,,33
R_3fU8PM18F9HhO5b,55,34
R_3O8OMmGqnJlTpcC,,35
R_2cpwLny8jyN6rhU,67,36
R_11d3ZJFF7uXEdMV,24,37
R_ZpGQtMSPJwmcUYF,,38
R_zTmz3v5lpqGicLL,,39
R_1Ff89DXfbtLCJ4C,,40
R_3fcRrhwXexOP6hW,,41
R_2VeAHJrFnBVY4Zl,,42
R_7ZGSivSCG53YA2l,,43
R_a95YxDQlB4AQj0B,60,44
R_2TUfEKNyXgz3xZW,,45
R_4ISchE56ilMqmNb,62,46
R_27DMkUugjPNsylO,,47
R_uq6P6X0FRxX4xDH,,48
R_1riTQKpA6XHWHSA,61,49
R_2D5eliXPrkP6x1A,,50
R_1jKfvOowAcyR2Db,56,51
R_2SkTaZdb5Lvi8Pl,,52
R_2VabapiB1pp8QuC,,53
R_3fefkgUSOTYNFHj,58,54
R_1hFuoucRwzyRWXe,55,55
R_cvuPwLRMFlWA8JH,,56
R_OdMamB20regWCTT,,57
R_1pzWYWMWSEmRmkc,73,58
R_1fjz7vIRZnfgexw,,59
R_3DcrOeOo8qpOW8L,,60
R_3pg3isjzmnwPA95,70,61
R_9yoeOW2R8vdnj9v,74,62
R_3Eu6CCZj8qZKayd,,63
R_1NFC7vwcLAOu69p,73,64
R_22D2DeIz2ZifFGJ,40,65
R_ZpDbVPcD6TJIQc9,,66
R_1C4kmxdtKfC7CBq,,67
R_3oz822A1GJyvvbS,66,68
R_dmOc8OMFVbkJ44h,,69
R_32PDu8HOBiJ7IWg,44,70
R_Tj6SoUOZ6QDzd17,,71
R_PYg4k5FiIZkdShz,,72
R_9n5f4V4x5OVUgfv,,73
R_3iJB1qD16GIxsPh,,74
R_1QAdkJCnFEXOBcg,66,75
R_SPOhhMLJAlKggbD,,76
R_3L15arzAlUHsfBq,75,77
R_1hEDBCmtkwcpIo1,69,78
R_sZsZDRkY6vDygJH,59,79
R_3Ht24nQmNVbvlbH,48,80
R_21FiuECJ9mkqicz,59,81
R_1jiA4yIChXjPNYR,,82
R_2BxJOF97aVNgZ9k,,83
R_3oMiH0i87eZs6V2,,84
R_11bjpu7EW8BxgJz,77,85
R_1IWLCxFqhBYfzP1,,86
R_1o12pUDyXuL909q,74,87
R_2rJdBpF0LMJHCqi,,88
R_Tt7FiBinDxL46KB,53,89
R_rdt1dHlwlG5Wbnj,37,90
R_2TMEC24niWBJtit,,91
R_1OALU9hUBBcvCrb,42,92
R_1NgZrcdKh4R5tye,,93
R_8ib2XsGwtuxcJuF,63,94
R_2SwQaw00QLH2xPN,74,95
R_3Q4FQx59pX3Gaop,,96
R_1oGcfq0CBHIIazL,,97
R_2w1vklwzTK5yLrk,59,98
R_3L0v5GW01uDf69u,73,99
R_8CFKq5OtRHkPgkN,,100
R_3lS3msnctrD2yTx,,101
R_w6R4Shiwh1FfwQ1,,102
R_54ter9ajmglv23T,,103
R_2aWBYg6Sj9v3sDi,53,104
R_pugDppHUspOCWzv,,105
R_1kMQ52Jt70Mo3ox,,106
R_bDRHJrMl3W6EkbT,46,107
R_1pXoAr4wp0yhbVq,58,108
R_3n1Wk7bDbppcOQ6,,109
R_2AWhBcqTIARiYGV,49,110
R_1zxcR50Cb8a59kt,70,111
R_r1Pe60EtBgnPlXr,73,112
R_2DSJUWo5RfGlwVB,,113
R_3dFcN7fw8OsMAlW,47,114
R_2y78fANS1GAkQfo,67,115
R_2U6mu9o8pYjT643,,116
R_3etvxpgzBDwebpx,58,117
R_3DcHYITgET22KMu,,118
R_2VmZ20y34irYj7c,51,119
R_9NtkgHM9gkLcFl7,28,120
R_3m7wc3dipAlo8Zd,76,121
R_1BPiL13m6imfc9R,,122
R_22JjkLymqTngc92,,123
R_8euNhFqIjnRTsid,67,124
R_3fN7IpvI5zf3N6S,51,125
R_2SldQowpDHdIoNw,74,126
R_3n8muQbPaNk9yTG,,127
R_T7Lauq8Sm2Fot3j,,128
R_1f9n3c4cjuGJHHm,,129
R_2QR62hefNbzF4t2,72,130
R_1BQ4w1ZHZeyGF3O,,131
R_22GrLkdDdMsTRVH,,132
R_1irHeCnpaCHQdcx,94,133
R_3ejYqCGLkqFXKpG,,134
R_31XUdkCRfkvC92a,,135
R_2co5CCHW78yQyzX,71,136
R_2CUodCZK0qOex4B,,137
R_1E3Y40NfD8hovqc,,138
R_1nW41DYbZjUDpdh,50,139
R_u8j1cTvK5gs7Hk5,40,140
R_eu6hKmhN559hp3b,,141
R_302zThcQXiHDOdH,,142
R_tGt4qysMI2GwTNT,51,143
R_1et7NjiDyjudW0X,,144
R_zUVlRF5SqMPkAI9,78,145
R_XpOI5fXL8GD7DKp,45,146
R_2Yn6oGJNB4210Kh,,147
R_Tcm9uxQPdeIppRv,,148
R_qOuqyfaloOhei8V,,149
R_2qwLsmEL4DvGzAh,,150
R_3frbErbTODZOaOz,,151
R_2Va40yVeLUXnl3X,,152
R_eVvoCifPtzAl4SR,71,153
R_2DP3EPfFQJn9V5g,56,154
R_3RkkFuuUL68OesS,,155
R_3qVwNPwJ6HrQaTp,46,156
R_2bZvVZyPwm1F3fC,,157
R_1MM7bnKdSoAXfx4,,158
R_b7mR5sqQREUgSGd,67,159
R_qWoMb1idy8e89mV,45,160
R_2z6KDJ4vZVyJcgS,,161
R_BDiBW6umrylLhQt,51,162
R_20PwfoHUVLfFhYZ,,163
R_2zDbOxuCOGKobTi,,164
R_2cAdYqS93nkihOB,72,165
R_2Y6aZVsl7ox0Dzn,,166
R_2wN2MNt5sJRhBCx,,167
R_3qjJlJXrjOZRLJC,,168
R_2B376q99taj03tC,,169
R_2dL6m3HDkFvNIN6,,170
R_21hzxjrmM9Y6QZR,,171
R_1qeQ5szpu08BMcG,,172
R_12atTKRhAsKza9k,78,173
R_3WTqVJOHLDrZ2O5,65,174
R_DCPg8J8NUmaV6nf,32,175
R_1CEEoL8wsVpFYRQ,,176
R_3gZrMmZsWZ3uaB5,,177
R_2tlZv23Y5amDhqj,45,178
R_1P12sCaVoQ65ZQk,,179
R_1DGXjlISVL8WOAq,,180
R_3e3KWQykqJVgojf,,181
R_DqKXdtn5yEIKWtj,,182
R_2R3owUoh2oy2sBM,63,183
R_URVEHnelS4ZrMxr,,184
R_2f1JXeKcrvRy4Ww,,185
R_2R4cQLfe6zKbUAb,,186
R_5uTyzhoj1GQ6PoB,,187
R_1gqNFsJQLQWUDSA,,188
R_b71AnfpZspxeIbb,43,189
R_1H2I3FDov775v1L,60,190
R_23aE2EOL47xj81v,73,191
R_w1zATlZWxlHrwOZ,,192
R_1IypQPdhl7zCpRx,51,193
R_RfQlSLubSzecjbX,,194
R_1JKI9e1d8yconAg,,195
R_1dzr4EtbzT5eKmZ,65,196
R_3EJVoTNephUd9Jh,,197
R_216QIFazDLkQqsj,70,198
R_2CTBIxgGrmBSH4V,70,199
R_1N3qOPob4zSk3n7,62,200
R_1r7VzQMUq0p3sPu,,201
R_bjW3Qyw9OxovlvD,,202
R_1Ej3JMUhm8AZ6Gi,,203
R_1KpZH3ZhW7JuBEM,61,204
R_2zqekGTcQm7RW8x,41,205
R_A6RCDxolCG2ezyp,,206
R_1kN6vf5CGPi4XRL,61,207
R_3JDZaaYLb1EHaH6,,208
R_1dzc9NlqrT5N2TE,62,209
R_2uE3T76naykeDA4,71,210
R_3hnY6KsJju6HTbV,58,211
R_1ln3PoLZysztBBL,,212
R_12D66DxifLfz1yW,,213
R_3gXiFkKs4Qjy80Q,56,214
R_1Fg54DtZGgsUh4n,33,215
R_20V5LeGoUWtd5xl,64,216
R_3qaoa1mnZK8Gbym,,217
R_uth2eFZpK1BQxGh,,218
R_1fZq7iUhiTLre4B,,219
R_RUgYDHxcLuWywGl,,220
R_2D6mcTt8tmDSPcS,,221
R_bfqgxnEgQxVGrfz,65,222
R_eyApoUMR1706921,52,223
R_2fBPw0VxgYZrr0p,,224
R_3rVfa6Rgny0EWHc,62,225
R_3iySiHqkbMmUlOF,,226
R_cw5qLB0n10RTj6V,,227
R_2q4N8PnrPAXmiuN,62,228
R_3MRJyLXvMBs15RQ,,229
R_23VsmB8vqDA26RG,,230
R_10Z999Cnp2WTsNC,64,231
R_3MbNx5k69XSQkLX,73,232
R_1jiZVEmy6bJP7RG,69,233
R_2dA8RtTD92dQsyJ,67,234
R_1BVs01LkH1C97cA,65,235
R_12AwkyOcTBrDkr7,69,236
R_3JE0eGTBAo41BPW,,237
R_1mIYT1ND2t7mqSq,57,238
R_1CIPlZkX71UJazv,,239
R_A0biIAnjjzWS6id,,240
R_2wFuF6WvbbFvmov,60,241
R_2SoDtI1X2ihnfte,,242
R_3VFHkANozWeuqel,,243
R_3y3pGovsHSo2TgB,61,244
R_3JJmxNaHiSIkDNP,59,245
R_UXuM61j7sQYqvER,,246
R_29aGxlP7xfGdPFD,61,247
R_3dXoM3IrWg9mWtH,,248
R_3L602XTgcd5moT4,,249
R_3lJqNwWNiGOYg2E,,250
R_2VdXPalN89QH7H1,,251
R_4N5YeuVFM3f8GbL,,252
R_2z91CAWAq9pdJ7r,,253
R_3LbrInFWZlpOF4Z,56,254
R_V57D3M055YWvW25,72,255
R_1Le3OGE2oHZCkMx,,256
R_2ahQnJ6xWSfOC7D,,257
R_Tq52tuf6zAB8RWx,,258
R_9KxJQZFaCJ85qff,,259
R_8jeK6Rx2bj7u3L3,,260
R_1Nm5foZToBtNxsW,,261
R_8le6YKN86AfchHj,,262
R_3RwSTf1CwVh04eS,50,263
R_3p6lR1ydhsD6Dwc,,264
R_3oGSwfQg43buoty,52,265
R_1GUrXXhf5xKMpk3,,266
R_2VpscXhMnKYjI4F,,267
R_3aVcZ2wKVAwVwfT,84,268
R_3s6RnH73fyRFIdP,26,269
R_1k0Mg429c6rbwK3,70,270
R_currjw5zNmcAIFj,,271
R_3sgg6SQwcsh8xj6,68,272
R_3HnUOuVest68d2E,,273
R_1QnehR1Y8LwG8vY,51,274
R_2ByxdSBc8hfphQS,,275
R_1LCmlyIMrmtRP8x,,276
R_1ItwG7Y2098uRhY,,277
R_vekeFGjO1KHFDAl,,278
R_byGiFfM2tiyqaR3,,279
R_3iK1bBEoxmnzn4n,59,280
R_PIhdiDD6aN1naH7,50,281
R_eVYYI75oaPZ6buR,,282
R_23fpXWvpl129tcs,35,283
R_9SoqbNdmQPCcFxf,,284
R_1Fhq9cZLfFSd7yl,,285
R_3FWNWFsDEd9jYpH,71,286
R_2xPqyhGitIAe51L,,287
R_3rUFwwlS7iU9x3r,,288
R_25FbiD7FohFkfr4,,289
R_1cYx9cn3Moo2I81,,290
R_1gRQ3qafMjdKOGO,,291
R_1LGLZkzlJEuf8jn,70,292
R_1MMpPKVgDUaIB1e,,293
R_2f3fwYBxXwLSPGK,,294
R_2fl0CLH5mKNgxW0,63,295
R_2s7k9RKFUBBBk5R,47,296
R_295qnzRDleUgkWN,42,297
R_2X1LxeERfN3mYEb,71,298
R_2f0taADC9Pr5UNJ,41,299
R_20Yxnsdd1LaHS3S,,300
R_23aDzHiwzoTm5E3,,301
R_3NJNnBAZwrHfxG9,50,302
R_12xlSQi2QyNKtQ8,,303
R_1CgteHMFXNSpPWq,,304
R_3kb3T0JXoHjMDbk,,305
R_eKdoYhauzJriNdD,,306
R_2CJsW6euVF2UNXw,,307
R_snB6gS44idvF3jz,,308
R_visjIAYdqKrJRJf,59,309
R_33goSUYDs8q2exd,,310
R_1NsLpgA6Z8M1NLe,60,311
R_rehTjfcsf6vPhjr,,312
R_2w0RLAqC5cQvJZI,,313
R_1jvmcbTiLpcQgXP,,314
R_UPIii9qd4Ze6cr7,,315
R_3HhQDsHkJpLVgXq,53,316
R_20YfxLCxdVIM1gb,,317
R_2t3V2KEkr6LsQ5k,,318
R_3e8qvqw01E5WsBg,64,319
R_ZktQfMmXP7zfIPL,,320
R_28U8ZWcFknUJGvn,,321
R_3rMq0c1xljpEEor,63,322
R_2QWBinL9ZKDD4ii,,323
R_3MQA262akwZ56HO,,324
R_Pzd4wGWM04gQvwR,34,325
R_2QzXxqwuXP6Lusu,,326
R_DiY5hIclSBMtAKB,,327
R_3dB9B8eQnFluNPP,58,328
R_dnXrC0QjIgID0Cl,,329
R_VU03fM44DSPxFTP,35,330
R_39G0FTs4DzFhByp,,331
R_334gT194xFcyjil,,332
R_31MYx48Wy4g2xuU,63,333
R_2ymEG4XyrUQlNM3,57,334
R_1NqYFuGpKSdjCTa,,335
R_sNCQmnlUFGokzwB,,336
R_0H41shEbgQVWiu5,80,337
R_33kUsEB1pyTxOam,61,338
R_3GxIBAjGx4oMJEz,,339
R_116JC75NiFWjMFV,,340
R_qEByPEqmJzjUkI9,,341
R_1eWSLpqyyDO7d9D,,342
R_2an29pfIu82Xzcw,35,343
R_214As0OBxLuTc4v,59,344
R_2wAm41nmCY7eN0Z,81,345
R_1IRaIeY1kpQo7Qy,44,346
R_273eAahoe12S3G5,59,347
R_RyvqRY4TUYJCSbL,75,348
R_3GiX5YyxgtQTcq0,55,349
R_2CZlsnND2pg19D6,59,350
R_1DtJTH34RLdjwmO,,351
R_3GpnbmuJCCa0hCB,,352
R_3CCs4sYfLV5CkTD,63,353
R_BRQMRlcnD4gcrqV,43,354
R_26ngEJUBbR7qF9o,,355
R_SOA3ZDVQ722gtEd,,356
R_1BvU6Hn1jFRFUyd,,357
R_24u7F1KzjhDQyub,53,358
R_DGmcS9IKImNQv8R,,359
R_2THuHkNIrVvTm9i,,360
R_3qgkVtl6BB6s7th,,361
R_0Ic7AqIUi3R28jT,78,362
R_3iqbFsRC3NP5TZX,,363
R_2tb5hzpDBqkbBjo,62,364
R_1CCtwAgQcclwUiG,,365
R_XzZALJ8L0BjrY8V,,366
R_2aQ2UluPPpM8Zdw,,367
R_27DMO4nQv5HjyDO,58,368
R_1opc2xgMEAlIjyW,29,369
R_zes7Esvi4OlBUDn,64,370
R_29ddk8leJz1HEAO,,371
R_2af4uD7fhBWVdFF,46,372
R_11dsjRh9ngNPIOX,,373
R_3O8KOSeSKXZB8S5,,374
R_SUxnqUXCgOQUC1X,,375
R_ZEOtYVCsGYDppu1,,376
R_3PdgWR6ReZOiOc6,,377
R_zUTlcmtvYO8S98J,,378
R_6na31Sue6pPjelb,60,379
R_2zcDvfRlkPfOTVF,,380
R_cwNNi9dJWGaZZkd,,381
R_3LhYmPv0RBf7mrO,,382
R_2YfwOAs4EVbXzTg,,383
R_3F3ZuusOOG2lj5K,72,384
R_1hEHyCQ4ZiiLEUF,,385
R_9tMWmw3VLc3N6o1,68,386
R_3kzdTL5CMmZ8cQz,,387
R_2zGSh5vw8I4Axai,,388
R_vjJE2uGio7Z8aHf,68,389
R_2DS9rjT5v06jVYG,,390
R_2dsbPJ88oXTVlsF,64,391
R_25sCYQcEm2Xij36,,392
R_3Ea2MH4IJp98cUj,,393
R_4Ua2BL6SdJhobOp,,394
R_2rlmfeCddgobExw,64,395
R_2CKy7ug8S12ciW9,,396
R_1DU37Z0SSe2nByK,,397
R_YcvwRuIKmfy7uX7,,398
R_bacCzaKwwDhJ5mx,,399
R_1mydhzfyFcI3BtA,59,400
R_3HuCyycWo5akOvp,,401
R_b1S6VyuLit7hB1T,,402
R_2scq6PagsaVK5jE,,403
R_1kXfux1lQzLNuM6,,404
R_3kHc5BcsrlTjVoQ,,405
R_3kAGylDh3Ab1zHm,66,406
R_9v2iDhpNbQM0F7X,,407
R_3P5fuGhMLoj1aMU,46,408
R_1QbwDG3hh9CMrmZ,,409
R_2aID1Y39xYBaZFW,,410
R_1r1DAKzguxQaLWH,,411
R_2f1Vcdkytd53Xzu,,412
R_6y66ibd9wNC1A09,,413
R_1mfnFfjOinEldKw,46,414
R_yPkiMjv1J2z75QJ,31,415
R_27Dwpkqvd1lF2Lg,64,416
R_1LCp5fEoCULBT2L,55,417
R_8Bsx1Ks9gx0i6uB,38,418
R_2rkIankufEESchT,,419
R_27yh7VV8ThU2ERM,41,420
R_1GvuSSmp4z8lnxH,,421
R_2y1oPjNcyWLoxcJ,32,422
R_1luyD4DXVW67JMl,,423
R_2SDhgNekv0KWJo8,,424
R_cXZnCMCY0nEUBox,,425
R_3ithetCBeqzAYna,,426
R_bKPpJaiGCT5xjxv,,427
R_babl8yXa9Fr3XV3,74,428
R_3n2WpFM0pK167Dr,,429
R_2tLJN4ebq03qSKF,,430
R_1g0l4m0SvwKGUx4,,431
R_3jdlpCpNgcpsqMw,,432
R_ZJZLZwW00OPObnP,48,433
R_27pwTs4AquZMhxa,39,434
R_25GwU30b1glJSUa,48,435
R_1o2dvOeEH8fEFXT,,436
R_z6IYBjI9aSUN4xb,,437
R_2akQ0MyGgrgqyds,53,438
R_ZacKhaM5qvIHRAZ,,439
R_1dGkQyC9oaKKCnz,42,440
R_TuwiZlbm1zjTkvD,,441
R_VKls1RCdMIhFg1b,,442
